match_id,competition,round,day,date,time,home_team,away_team,score_raw,home_goals,away_goals,home_penalties,away_penalties,attendance,venue,referee,notes
2026-01-17_manchester-utd_vs_manchester-city,Premier League,Premier League,Sat,2026-01-17,12:30,Manchester United,Manchester City,2–0,2,0,,,74004,Old Trafford,Anthony Taylor,
2025-09-14_manchester-city_vs_manchester-utd,Premier League,Premier League,Sun,2025-09-14,16:30,Manchester City,Manchester United,3–0,3,0,,,52534,Etihad Stadium,Anthony Taylor,
2025-04-06_manchester-utd_vs_manchester-city,Premier League,Premier League,Sun,2025-04-06,16:30,Manchester United,Manchester City,0–0,0,0,,,73738,Old Trafford,John Brooks,
2024-12-15_manchester-city_vs_manchester-utd,Premier League,Premier League,Sun,2024-12-15,16:30,Manchester City,Manchester United,1–2,1,2,,,53184,Etihad Stadium,Anthony Taylor,
2024-08-10_manchester-city_vs_manchester-utd,FA Community Shield,FA Community Shield,Sat,2024-08-10,15:00,Manchester City,Manchester United,(7) 1–1 (6),1,1,7,6,78146,Wembley Stadium connected by EE,Jarred Gillett,Manchester City won a penalty shoot-out following normal time
2024-05-25_manchester-city_vs_manchester-utd,FA Cup,Final,Sat,2024-05-25,15:00,Manchester City,Manchester United,1–2,1,2,,,84814,Wembley Stadium connected by EE (Neutral Site),Andy Madley,
2024-03-03_manchester-city_vs_manchester-utd,Premier League,Premier League,Sun,2024-03-03,15:30,Manchester City,Manchester United,3–1,3,1,,,53514,Etihad Stadium,Andy Madley,
2023-10-29_manchester-utd_vs_manchester-city,Premier League,Premier League,Sun,2023-10-29,15:30,Manchester United,Manchester City,0–3,0,3,,,73502,Old Trafford,Paul Tierney,
2023-06-03_manchester-city_vs_manchester-utd,FA Cup,Final,Sat,2023-06-03,15:00,Manchester City,Manchester United,2–1,2,1,,,83179,Wembley Stadium (Neutral Site),Paul Tierney,
2023-01-14_manchester-utd_vs_manchester-city,Premier League,Premier League,Sat,2023-01-14,12:30,Manchester United,Manchester City,2–1,2,1,,,75546,Old Trafford,Stuart Attwell,
2022-10-02_manchester-city_vs_manchester-utd,Premier League,Premier League,Sun,2022-10-02,14:00,Manchester City,Manchester United,6–3,6,3,,,53475,Etihad Stadium,Michael Oliver,
2022-03-06_manchester-city_vs_manchester-utd,Premier League,Premier League,Sun,2022-03-06,16:30,Manchester City,Manchester United,4–1,4,1,,,53165,Etihad Stadium,Michael Oliver,
2021-11-06_manchester-utd_vs_manchester-city,Premier League,Premier League,Sat,2021-11-06,12:30,Manchester United,Manchester City,0–2,0,2,,,73086,Old Trafford,Michael Oliver,
2021-03-07_manchester-city_vs_manchester-utd,Premier League,Premier League,Sun,2021-03-07,16:30,Manchester City,Manchester United,0–2,0,2,,,,Etihad Stadium,Anthony Taylor,
2021-01-06_manchester-utd_vs_manchester-city,EFL Cup,Semi-finals,Wed,2021-01-06,19:45,Manchester United,Manchester City,0–2,0,2,,,,Old Trafford,Martin Atkinson,
2020-12-12_manchester-utd_vs_manchester-city,Premier League,Premier League,Sat,2020-12-12,17:30,Manchester United,Manchester City,0–0,0,0,,,,Old Trafford,Chris Kavanagh,
2020-03-08_manchester-utd_vs_manchester-city,Premier League,Premier League,Sun,2020-03-08,16:30,Manchester United,Manchester City,2–0,2,0,,,73288,Old Trafford,Mike Dean,
2020-01-29_manchester-city_vs_manchester-utd,EFL Cup,Semi-finals,Wed,2020-01-29,19:45,Manchester City,Manchester United,0–1,0,1,,,51000,Etihad Stadium,Kevin Friend,Leg 2 of 2; Manchester City won
2020-01-07_manchester-utd_vs_manchester-city,EFL Cup,Semi-finals,Tue,2020-01-07,20:00,Manchester United,Manchester City,1–3,1,3,,,69023,Old Trafford,Mike Dean,Leg 1 of 2
2019-12-07_manchester-city_vs_manchester-utd,Premier League,Premier League,Sat,2019-12-07,17:30,Manchester City,Manchester United,1–2,1,2,,,54403,Etihad Stadium,Anthony Taylor,
2019-04-24_manchester-utd_vs_manchester-city,Premier League,Premier League,Wed,2019-04-24,20:00,Manchester United,Manchester City,0–2,0,2,,,74431,Old Trafford,Andre Marriner,
2018-11-11_manchester-city_vs_manchester-utd,Premier League,Premier League,Sun,2018-11-11,16:30,Manchester City,Manchester United,3–1,3,1,,,54316,Etihad Stadium,Anthony Taylor,
2018-04-07_manchester-city_vs_manchester-utd,Premier League,Premier League,Sat,2018-04-07,17:30,Manchester City,Manchester United,2–3,2,3,,,54259,Etihad Stadium,Martin Atkinson,
2017-12-10_manchester-utd_vs_manchester-city,Premier League,Premier League,Sun,2017-12-10,16:30,Manchester United,Manchester City,1–2,1,2,,,74847,Old Trafford,Michael Oliver,
2017-04-27_manchester-city_vs_manchester-utd,Premier League,Premier League,Thu,2017-04-27,20:00,Manchester City,Manchester United,0–0,0,0,,,54176,Etihad Stadium,Martin Atkinson,
2016-10-26_manchester-utd_vs_manchester-city,EFL Cup,Fourth round,Wed,2016-10-26,20:00,Manchester United,Manchester City,1–0,1,0,,,75196,Old Trafford,Mike Dean,
2016-09-10_manchester-utd_vs_manchester-city,Premier League,Premier League,Sat,2016-09-10,12:30,Manchester United,Manchester City,1–2,1,2,,,75272,Old Trafford,Mark Clattenburg,
2016-03-20_manchester-city_vs_manchester-utd,Premier League,Premier League,Sun,2016-03-20,16:00,Manchester City,Manchester United,0–1,0,1,,,54557,Etihad Stadium,Michael Oliver,
2015-10-25_manchester-utd_vs_manchester-city,Premier League,Premier League,Sun,2015-10-25,14:05,Manchester United,Manchester City,0–0,0,0,,,75329,Old Trafford,Mark Clattenburg,
2015-04-12_manchester-utd_vs_manchester-city,Premier League,Premier League,Sun,2015-04-12,16:00,Manchester United,Manchester City,4–2,4,2,,,75313,Old Trafford,Mark Clattenburg,
2014-11-02_manchester-city_vs_manchester-utd,Premier League,Premier League,Sun,2014-11-02,13:30,Manchester City,Manchester United,1–0,1,0,,,45358,Etihad Stadium,Michael Oliver,
2014-03-25_manchester-utd_vs_manchester-city,Premier League,Premier League,Tue,2014-03-25,,Manchester United,Manchester City,0–3,0,3,,,75203,Old Trafford,Michael Oliver,
2013-09-22_manchester-city_vs_manchester-utd,Premier League,Premier League,Sun,2013-09-22,,Manchester City,Manchester United,4–1,4,1,,,47156,Etihad Stadium,Howard Webb,
2013-04-08_manchester-utd_vs_manchester-city,Premier League,Premier League,Mon,2013-04-08,,Manchester United,Manchester City,1–2,1,2,,,75498,Old Trafford,Mike Dean,
2012-12-09_manchester-city_vs_manchester-utd,Premier League,Premier League,Sun,2012-12-09,,Manchester City,Manchester United,2–3,2,3,,,47166,Etihad Stadium,Martin Atkinson,
2012-04-30_manchester-city_vs_manchester-utd,Premier League,Premier League,Mon,2012-04-30,,Manchester City,Manchester United,1–0,1,0,,,47259,Etihad Stadium,Andre Marriner,
2011-10-23_manchester-utd_vs_manchester-city,Premier League,Premier League,Sun,2011-10-23,,Manchester United,Manchester City,1–6,1,6,,,75487,Old Trafford,Mark Clattenburg,
2011-02-12_manchester-utd_vs_manchester-city,Premier League,Premier League,Sat,2011-02-12,,Manchester United,Manchester City,2–1,2,1,,,75322,Old Trafford,Andre Marriner,
2010-11-10_manchester-city_vs_manchester-utd,Premier League,Premier League,Wed,2010-11-10,,Manchester City,Manchester United,0–0,0,0,,,47210,Etihad Stadium,Chris Foy,
2010-04-17_manchester-city_vs_manchester-utd,Premier League,Premier League,Sat,2010-04-17,,Manchester City,Manchester United,0–1,0,1,,,47019,Etihad Stadium,Martin Atkinson,
2009-09-20_manchester-utd_vs_manchester-city,Premier League,Premier League,Sun,2009-09-20,,Manchester United,Manchester City,4–3,4,3,,,75066,Old Trafford,Martin Atkinson,
2009-05-10_manchester-utd_vs_manchester-city,Premier League,Premier League,Sun,2009-05-10,,Manchester United,Manchester City,2–0,2,0,,,75464,Old Trafford,Chris Foy,
2008-11-30_manchester-city_vs_manchester-utd,Premier League,Premier League,Sun,2008-11-30,,Manchester City,Manchester United,0–1,0,1,,,47320,Etihad Stadium,Howard Webb,
2008-02-10_manchester-utd_vs_manchester-city,Premier League,Premier League,Sun,2008-02-10,,Manchester United,Manchester City,1–2,1,2,,,,Old Trafford,Howard Webb,
2007-08-19_manchester-city_vs_manchester-utd,Premier League,Premier League,Sun,2007-08-19,,Manchester City,Manchester United,1–0,1,0,,,,Etihad Stadium,Mark Clattenburg,
2007-05-05_manchester-city_vs_manchester-utd,Premier League,Premier League,Sat,2007-05-05,,Manchester City,Manchester United,0–1,0,1,,,47244,Etihad Stadium,Rob Styles,
2006-12-09_manchester-utd_vs_manchester-city,Premier League,Premier League,Sat,2006-12-09,,Manchester United,Manchester City,3–1,3,1,,,75858,Old Trafford,Graham Poll,
2006-01-14_manchester-city_vs_manchester-utd,Premier League,Premier League,Sat,2006-01-14,,Manchester City,Manchester United,3–1,3,1,,,47192,Etihad Stadium,Stephen Bennett,
2005-09-10_manchester-utd_vs_manchester-city,Premier League,Premier League,Sat,2005-09-10,,Manchester United,Manchester City,1–1,1,1,,,67839,Old Trafford,Stephen Bennett,
2005-02-13_manchester-city_vs_manchester-utd,Premier League,Premier League,Sun,2005-02-13,,Manchester City,Manchester United,0–2,0,2,,,47111,Etihad Stadium,Stephen Bennett,
2004-11-07_manchester-utd_vs_manchester-city,Premier League,Premier League,Sun,2004-11-07,,Manchester United,Manchester City,0–0,0,0,,,67863,Old Trafford,Graham Poll,
2004-03-14_manchester-city_vs_manchester-utd,Premier League,Premier League,Sun,2004-03-14,,Manchester City,Manchester United,4–1,4,1,,,47284,Etihad Stadium,Stephen Bennett,
2003-12-13_manchester-utd_vs_manchester-city,Premier League,Premier League,Sat,2003-12-13,,Manchester United,Manchester City,3–1,3,1,,,67643,Old Trafford,Mark Halsey,
2003-02-09_manchester-utd_vs_manchester-city,Premier League,Premier League,Sun,2003-02-09,,Manchester United,Manchester City,1–1,1,1,,,67646,Old Trafford,Alan Wiley,
2002-11-09_manchester-city_vs_manchester-utd,Premier League,Premier League,Sat,2002-11-09,,Manchester City,Manchester United,3–1,3,1,,,34649,Maine Road,Paul Durkin,
2001-04-21_manchester-utd_vs_manchester-city,Premier League,Premier League,Sat,2001-04-21,,Manchester United,Manchester City,1–1,1,1,,,67535,Old Trafford,David Elleray,
2000-11-18_manchester-city_vs_manchester-utd,Premier League,Premier League,Sat,2000-11-18,,Manchester City,Manchester United,0–1,0,1,,,34429,Maine Road,Steve Dunn,
1996-04-06_manchester-city_vs_manchester-utd,Premier League,Premier League,Sat,1996-04-06,,Manchester City,Manchester United,2–3,2,3,,,29688,Maine Road,Mike Reed,
1995-10-14_manchester-utd_vs_manchester-city,Premier League,Premier League,Sat,1995-10-14,,Manchester United,Manchester City,1–0,1,0,,,35707,Old Trafford,Roger Dilkes,
1995-02-11_manchester-city_vs_manchester-utd,Premier League,Premier League,Sat,1995-02-11,,Manchester City,Manchester United,0–3,0,3,,,21430,Maine Road,Philip Don,
1994-11-10_manchester-utd_vs_manchester-city,Premier League,Premier League,Thu,1994-11-10,,Manchester United,Manchester City,5–0,5,0,,,43738,Old Trafford,Keith Cooper,
1994-04-23_manchester-utd_vs_manchester-city,Premier League,Premier League,Sat,1994-04-23,,Manchester United,Manchester City,2–0,2,0,,,44333,Old Trafford,Kelvin Morton,
1993-11-07_manchester-city_vs_manchester-utd,Premier League,Premier League,Sun,1993-11-07,,Manchester City,Manchester United,2–3,2,3,,,35155,Maine Road,Robbie Hart,
