Stat Category,Rank,Player Name,Team,Value
Goals,1,Wayne Rooney,Manchester United,8
Goals,1,Erling Haaland,Manchester City,8
Goals,1,Sergio Agüero,Manchester City,8
Goals,4,Eric Cantona,Manchester United,7
Goals,4,Phil Foden,Manchester City,7
Goals,6,Marcus Rashford,Manchester United,6
Goals,7,Paul Scholes,Manchester United,5
Goals,7,Anthony Martial,Manchester United,5
Goals,9,Bernardo Silva,Manchester City,4
Goals,9,Ruud van Nistelrooy,Manchester United,4
Goals,9,İlkay Gündoğan,Manchester City,4
Goals,9,Andrei Kanchelskis,2-squads,4
Goals,9,Bruno Fernandes,Manchester United,4
Goals,9,David Silva,Manchester City,4
Goals,9,Edin Džeko,Manchester City,4
Goals,9,Niall Quinn,Manchester City,4
Assists,1,Ryan Giggs,Manchester United,12
Assists,2,Bernardo Silva,Manchester City,7
Assists,3,Kevin De Bruyne,Manchester City,6
Assists,4,Bruno Fernandes,Manchester United,5
Assists,5,David Silva,Manchester City,3
Assists,5,Carlos Tevez,2-squads,3
Assists,5,Eric Cantona,Manchester United,3
Assists,5,Erling Haaland,Manchester City,3
Assists,9,Andrei Kanchelskis,2-squads,2
Assists,9,Patrice Evra,Manchester United,2
Assists,9,Álvaro Negredo,Manchester City,2
Assists,9,Rodri,Manchester City,2
Assists,9,İlkay Gündoğan,Manchester City,2
Assists,9,Jeremy Doku,Manchester City,2
Assists,9,Riyad Mahrez,Manchester City,2
Assists,9,Raheem Sterling,Manchester City,2
Assists,9,Stephen Ireland,Manchester City,2
Assists,9,Ashley Young,Manchester United,2
Assists,9,Darius Vassell,Manchester City,2
Assists,9,Martin Petrov,Manchester City,2
Assists,9,Edin Džeko,Manchester City,2
Assists,9,Gary Neville,Manchester United,2
Assists,9,Samir Nasri,Manchester City,2
Assists,9,James Milner,Manchester City,2
Assists,9,Alexis Sánchez,Manchester United,2
Matches Played,1,Ryan Giggs,Manchester United,29
Matches Played,2,David de Gea,Manchester United,27
Matches Played,3,Marcus Rashford,Manchester United,22
Matches Played,4,Paul Scholes,Manchester United,21
Matches Played,4,Bernardo Silva,Manchester City,21
Matches Played,4,Kevin De Bruyne,Manchester City,21
Matches Played,4,Wayne Rooney,Manchester United,21
Matches Played,8,Rio Ferdinand,Manchester United,20
Matches Played,8,Victor Lindelöf,Manchester United,20
Matches Played,10,Vincent Kompany,Manchester City,19
Minutes,1,David de Gea,Manchester United,2430
Minutes,2,Ryan Giggs,Manchester United,1952
Minutes,3,Rio Ferdinand,Manchester United,1800
Minutes,4,Wayne Rooney,Manchester United,1730
Minutes,5,Paul Scholes,Manchester United,1646
Minutes,6,Bernardo Silva,Manchester City,1633
Minutes,7,Kevin De Bruyne,Manchester City,1617
Minutes,8,Marcus Rashford,Manchester United,1600
Minutes,9,Ederson Moraes,Manchester City,1530
Minutes,10,Bruno Fernandes,Manchester United,1525
Yellow Cards,1,Vincent Kompany,Manchester City,10
Yellow Cards,2,Fernandinho,Manchester City,7
Yellow Cards,2,Wayne Rooney,Manchester United,7
Yellow Cards,4,Bernardo Silva,Manchester City,5
Yellow Cards,4,Rodri,Manchester City,5
Yellow Cards,4,Luke Shaw,Manchester United,5
Yellow Cards,4,Fred,Manchester United,5
Yellow Cards,8,Paul Scholes,Manchester United,4
Yellow Cards,8,Kyle Walker,Manchester City,4
Yellow Cards,8,Chris Smalling,Manchester United,4
Yellow Cards,8,Harry Maguire,Manchester United,4
Yellow Cards,8,Keith Curle,Manchester City,4
Yellow Cards,8,David Silva,Manchester City,4
Red Cards,1,Marouane Fellaini,Manchester United,1
Red Cards,1,Roy Keane,Manchester United,1
Red Cards,1,Cristiano Ronaldo,Manchester United,1
Red Cards,1,Jonny Evans,Manchester United,1
Clean Sheets,1,David de Gea,Manchester United,7
Clean Sheets,2,Ederson Moraes,Manchester City,6
Clean Sheets,3,Edwin van der Sar,Manchester United,5
Clean Sheets,3,Joe Hart,Manchester City,5
Clean Sheets,5,Peter Schmeichel,2-squads,4
Clean Sheets,6,Roy Carroll,Manchester United,2
Clean Sheets,6,André Onana,Manchester United,2
Clean Sheets,8,Gianluigi Donnarumma,Manchester City,1
Clean Sheets,8,Claudio Bravo,Manchester City,1
Clean Sheets,8,Fabien Barthez,Manchester United,1
Clean Sheets,8,Zack Steffen,Manchester City,1
Clean Sheets,8,Kasper Schmeichel,Manchester City,1
Clean Sheets,8,David James,Manchester City,1
Clean Sheets,8,Senne Lammens,Manchester United,1
Clean Sheets,8,Willy Caballero,Manchester City,1
Clean Sheets,8,Dean Henderson,Manchester United,1
