Comp,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Notes
Premier League,Premier League,Sat,2026-01-17,12:30,Manchester Utd,2–0,Manchester City,74004,Old Trafford,Anthony Taylor,
Premier League,Premier League,Sun,2025-09-14,16:30,Manchester City,3–0,Manchester Utd,52534,Etihad Stadium,Anthony Taylor,
Premier League,Premier League,Sun,2025-04-06,16:30,Manchester Utd,0–0,Manchester City,73738,Old Trafford,John Brooks,
Premier League,Premier League,Sun,2024-12-15,16:30,Manchester City,1–2,Manchester Utd,53184,Etihad Stadium,Anthony Taylor,
FA Community Shield,FA Community Shield,Sat,2024-08-10,15:00,Manchester City,(7) 1–1 (6),Manchester Utd,78146,Wembley Stadium connected by EE,Jarred Gillett,Manchester City won a penalty shoot-out following normal time
FA Cup,Final,Sat,2024-05-25,15:00,Manchester City,1–2,Manchester Utd,84814,Wembley Stadium connected by EE (Neutral Site),Andy Madley,
Premier League,Premier League,Sun,2024-03-03,15:30,Manchester City,3–1,Manchester Utd,53514,Etihad Stadium,Andy Madley,
Premier League,Premier League,Sun,2023-10-29,15:30,Manchester Utd,0–3,Manchester City,73502,Old Trafford,Paul Tierney,
FA Cup,Final,Sat,2023-06-03,15:00,Manchester City,2–1,Manchester Utd,83179,Wembley Stadium (Neutral Site),Paul Tierney,
Premier League,Premier League,Sat,2023-01-14,12:30,Manchester Utd,2–1,Manchester City,75546,Old Trafford,Stuart Attwell,
Premier League,Premier League,Sun,2022-10-02,14:00,Manchester City,6–3,Manchester Utd,53475,Etihad Stadium,Michael Oliver,
Premier League,Premier League,Sun,2022-03-06,16:30,Manchester City,4–1,Manchester Utd,53165,Etihad Stadium,Michael Oliver,
Premier League,Premier League,Sat,2021-11-06,12:30,Manchester Utd,0–2,Manchester City,73086,Old Trafford,Michael Oliver,
Premier League,Premier League,Sun,2021-03-07,16:30,Manchester City,0–2,Manchester Utd,,Etihad Stadium,Anthony Taylor,
EFL Cup,Semi-finals,Wed,2021-01-06,19:45,Manchester Utd,0–2,Manchester City,,Old Trafford,Martin Atkinson,
