Season,Season,Season,Season,Season,Season,Season,Season,Season,Season,Season,Season,Season
25/26,Premier League,Manchester City,4,3,6,0,2,6,3,3,0,27
25/26,FA Cup,Manchester City,0,0,1,1,1,0,0,0,0,3
25/26,UEFA Champions League,Manchester City,2,2,3,0,1,0,0,0,0,8
2025,FIFA Club World Cup,Manchester City,0,0,0,1,2,0,0,0,0,3
24/25,Premier League,Manchester City,6,6,2,0,3,3,2,0,0,22
24/25,FA Cup,Manchester City,0,0,0,0,1,0,0,0,0,1
24/25,UEFA Champions League,Manchester City,0,1,1,0,4,1,1,0,0,8
23/24,Premier League,Manchester City,3,4,2,1,5,6,3,3,0,27
23/24,UEFA Champions League,Manchester City,0,1,0,1,2,1,1,0,0,6
23/24,FA Cup,Manchester City,1,1,1,0,2,0,0,0,0,5
22/23,Premier League,Manchester City,3,6,8,0,6,8,3,2,0,36
22/23,UEFA Champions League,Manchester City,1,3,1,1,3,1,2,0,0,12
22/23,FA Cup,Manchester City,0,0,2,0,1,0,0,0,0,3
22/23,EFL Cup,Manchester City,1,0,0,0,0,0,0,0,0,1
21/22,Bundesliga,Borussia Dortmund,1,3,4,1,3,4,4,2,0,22
21/22,DFB-Pokal,Borussia Dortmund,0,1,1,0,2,0,0,0,0,4
21/22,UEFA Champions League,Borussia Dortmund,0,0,0,1,0,1,1,0,0,3
20/21,Bundesliga,Borussia Dortmund,5,2,4,0,3,5,8,0,0,27
20/21,DFB-Pokal,Borussia Dortmund,0,1,0,0,0,0,1,0,1,3
20/21,UEFA Champions League,Borussia Dortmund,0,3,3,0,2,1,0,1,0,10
20/21,DFL-Supercup,Borussia Dortmund,0,0,0,0,1,0,0,0,0,1
19/20,Bundesliga,Borussia Dortmund,0,3,0,0,2,2,4,2,0,13
19/20,UEFA Champions League,Borussia Dortmund,0,0,0,0,0,1,1,0,0,2
19/20,DFB-Pokal,Borussia Dortmund,0,0,0,0,0,1,0,0,0,1
19/20,Bundesliga,Red Bull Salzburg,2,3,3,0,2,1,5,0,0,16
19/20,UEFA Champions League,Red Bull Salzburg,2,0,3,0,1,1,1,0,0,8
19/20,ÖFB-Cup,Red Bull Salzburg,0,0,1,0,0,1,2,0,0,4
18/19,Bundesliga,Red Bull Salzburg,1,0,0,0,0,0,0,0,0,1
18/19,Europa League Qualifying,Molde FK,1,0,1,0,0,0,2,0,0,4
2018,Eliteserien,Molde FK,6,2,1,0,2,0,1,0,0,12
2017,Eliteserien,Molde FK,0,0,0,0,0,0,2,0,0,2
2017,NM-Cup,Molde FK,0,0,0,0,1,1,0,0,0,2
2017,Norsk Tipping-Ligaen avd. 5,Molde FK II,1,1,0,0,0,0,0,0,0,2
TOTAL,,,40,46,48,7,52,45,47,13,1,299
