player name,Rk,Date,Comp,Round,Venue,Scorer,Squad,Opponent,Start,Minute,Score,Goalkeeper,Notes
Erling Haaland,2,2026-05-09,Premier League,Matchweek 36,Home,Omar Marmoush,Manchester City,Brentford,Y,90+2,2-0,Caoimhín Kelleher,
Erling Haaland,3,2026-02-21,Premier League,Matchweek 27,Home,Nico O'Reilly,Manchester City,Newcastle,Y,27,1-1,Nick Pope,
Erling Haaland,4,2026-02-08,Premier League,Matchweek 25,Away,Bernardo Silva,Manchester City,Liverpool,Y,84,0-1,Alisson,
Erling Haaland,5,2026-02-01,Premier League,Matchweek 24,Away,Rayan Cherki,Manchester City,Tottenham,Y,11,0-0,Guglielmo Vicario,
Erling Haaland,6,2025-12-20,Premier League,Matchweek 17,Home,Tijjani Reijnders,Manchester City,West Ham,Y,38,1-0,Alphonse Areola,
Erling Haaland,7,2025-12-02,Premier League,Matchweek 14,Away,Phil Foden,Manchester City,Fulham,Y,48,3-1,Bernd Leno,
Erling Haaland,8,2025-12-02,Premier League,Matchweek 14,Away,Tijjani Reijnders,Manchester City,Fulham,Y,37,1-0,Bernd Leno,
Erling Haaland,9,2025-09-27,Premier League,Matchweek 6,Home,Matheus Nunes,Manchester City,Burnley,Y,61,1-1,Martin Dúbravka,
Erling Haaland,15,2025-02-15,Premier League,Matchweek 25,Home,James Mcatee,Manchester City,Newcastle,Y*,84,3-0,Martin Dúbravka,
Erling Haaland,16,2025-01-25,Premier League,Matchweek 23,Home,Phil Foden,Manchester City,Chelsea,Y,87,2-1,Robert Sánchez,
Erling Haaland,17,2024-12-04,Premier League,Matchweek 14,Home,Jeremy Doku,Manchester City,Nottingham,Y,57,2-0,Matz Sels,
Erling Haaland,19,2024-02-05,Premier League,Matchweek 23,Away,Phil Foden,Manchester City,Brentford,Y,70,2-1,Mark Flekken,
Erling Haaland,20,2023-12-03,Premier League,Matchweek 14,Home,Jack Grealish,Manchester City,Tottenham,Y,81,2-2,Guglielmo Vicario,
Erling Haaland,21,2023-11-12,Premier League,Matchweek 12,Away,Rodri,Manchester City,Chelsea,Y,86,3-3,Robert Sánchez,
Erling Haaland,22,2023-10-29,Premier League,Matchweek 10,Away,Phil Foden,Manchester City,Manchester Utd,Y,80,2-0,André Onana,
Erling Haaland,24,2023-09-02,Premier League,Matchweek 4,Home,Julián Álvarez,Manchester City,Fulham,Y,31,0-0,Bernd Leno,
Erling Haaland,26,2023-05-24,Premier League,Matchweek 32,Away,Phil Foden,Manchester City,Brighton,Y,25,0-0,Jason Steele,
Erling Haaland,27,2023-04-26,Premier League,Matchweek 33,Home,Kevin De Bruyne,Manchester City,Arsenal,Y,54,2-0,Aaron Ramsdale,
Erling Haaland,28,2023-04-26,Premier League,Matchweek 33,Home,Kevin De Bruyne,Manchester City,Arsenal,Y,7,0-0,Aaron Ramsdale,
Erling Haaland,30,2023-03-04,Premier League,Matchweek 26,Home,Bernardo Silva,Manchester City,Newcastle,Y,67,1-0,Nick Pope,
Erling Haaland,31,2023-02-12,Premier League,Matchweek 23,Home,İlkay Gündoğan,Manchester City,Aston Villa,Y,39,1-0,Emiliano Martínez,
Erling Haaland,32,2022-10-02,Premier League,Matchweek 9,Home,Phil Foden,Manchester City,Manchester Utd,Y,72,5-1,David de Gea,
Erling Haaland,33,2022-10-02,Premier League,Matchweek 9,Home,Phil Foden,Manchester City,Manchester Utd,Y,44,3-0,David de Gea,
Erling Haaland,34,2022-08-13,Premier League,Matchweek 2,Home,İlkay Gündoğan,Manchester City,Bournemouth,Y,19,0-0,Mark Travers,
