season,start_matchweek,end_matchweek,start_date,end_date,consecutive_scoring_games,goals_in_streak
2022-2023,1,1,2022-08-07,2022-08-07,1,2
2022-2023,3,10,2022-08-21,2022-10-08,8,14
2022-2023,12,13,2022-10-22,2023-02-15,2,3
2022-2023,15,15,2022-11-05,2022-11-05,1,1
2022-2023,17,18,2022-12-28,2022-12-31,2,3
2022-2023,21,21,2023-01-22,2023-01-22,1,3
2022-2023,25,25,2023-02-25,2023-02-25,1,1
2022-2023,27,28,2023-03-11,2023-05-03,2,2
2022-2023,30,31,2023-04-08,2023-04-15,2,4
2022-2023,33,34,2023-04-26,2023-04-30,2,2
2022-2023,36,36,2023-05-14,2023-05-14,1,1
2023-2024,1,1,2023-08-11,2023-08-11,1,2
2023-2024,3,6,2023-08-27,2023-09-23,4,6
2023-2024,9,10,2023-10-21,2023-10-29,2,3
2023-2024,12,13,2023-11-12,2023-11-25,2,3
2023-2024,18,18,2024-02-20,2024-02-20,1,1
2023-2024,24,24,2024-02-10,2024-02-10,1,2
2023-2024,27,27,2024-03-03,2024-03-03,1,1
2023-2024,32,36,2024-04-06,2024-05-04,5,9
2024-2025,1,5,2024-08-18,2024-09-22,5,10
2024-2025,9,9,2024-10-26,2024-10-26,1,1
2024-2025,11,11,2024-11-09,2024-11-09,1,1
2024-2025,15,15,2024-12-07,2024-12-07,1,1
2024-2025,19,20,2024-12-29,2025-01-04,2,3
2024-2025,22,24,2025-01-19,2025-02-02,3,3
2024-2025,27,27,2025-02-26,2025-02-26,1,1
2024-2025,29,29,2025-03-15,2025-03-15,1,1
2024-2025,38,38,2025-05-25,2025-05-25,1,1
2025-2026,1,1,2025-08-16,2025-08-16,1,2
2025-2026,3,8,2025-08-31,2025-10-18,6,9
2025-2026,10,11,2025-11-02,2025-11-09,2,3
2025-2026,14,14,2025-12-02,2025-12-02,1,1
2025-2026,16,17,2025-12-14,2025-12-20,2,4
2025-2026,21,21,2026-01-07,2026-01-07,1,1
2025-2026,25,26,2026-02-08,2026-02-11,2,2
2025-2026,33,37,2026-04-19,2026-05-19,5,5
