Rank,Player Name,Team,Assists
1,Ryan Giggs,Manchester United,12
2,Bernardo Silva,Manchester City,7
3,Kevin De Bruyne,Manchester City,6
4,Bruno Fernandes,Manchester United,5
5,David Silva,Manchester City,3
5,Carlos Tevez,2-squads,3
5,Eric Cantona,Manchester United,3
5,Erling Haaland,Manchester City,3
9,Andrei Kanchelskis,2-squads,2
9,Patrice Evra,Manchester United,2
9,Álvaro Negredo,Manchester City,2
9,Rodri,Manchester City,2
9,İlkay Gündoğan,Manchester City,2
9,Jeremy Doku,Manchester City,2
9,Riyad Mahrez,Manchester City,2
9,Raheem Sterling,Manchester City,2
9,Stephen Ireland,Manchester City,2
9,Ashley Young,Manchester United,2
9,Darius Vassell,Manchester City,2
9,Martin Petrov,Manchester City,2
9,Edin Džeko,Manchester City,2
9,Gary Neville,Manchester United,2
9,Samir Nasri,Manchester City,2
9,James Milner,Manchester City,2
9,Alexis Sánchez,Manchester United,2
