Player,Nation,Pos,MP,Min,SoTA,GA,Saves,Save%,CS
Tony Coton,eng ENG,GK,4,360,,9,,0
Andy Dibble,wls WAL,GK,1,90,,2,,0
Gianluigi Donnarumma,it ITA,GK,2,180,9,2,7,77.8,1
Shay Given,ie IRL,GK,3,270,,7,,0
Joe Hart,eng ENG,GK,14,1220,12,15,7,58.3,5
Eike Immel,de GER,GK,2,180,,4,,0
Andreas Isaksson,se SWE,GK,2,135,,1,,0
David James,eng ENG,GK,5,450,,5,,1
Ederson Moraes,br BRA,GK,17,1530,58,21,37,63.8,6
Carlo Nash,eng ENG,GK,2,180,,2,,0
Stefan Ortega,de GER,GK,2,180,8,3,5,62.5,0
Kasper Schmeichel,dk DEN,GK,1,90,,0,,1
Peter Schmeichel,dk DEN,GK,1,90,,1,,0
David Seaman,eng ENG,GK,1,90,,3,,0
Zack Steffen,us USA,GK,1,90,2,0,2,100.0,1
Simon Tracey,eng ENG,GK,1,90,,5,,0
Nicky Weaver,eng ENG,GK,2,135,,1,,0
Claudio Bravo,cl CHI,GK,4,349,8,3,5,62.5,1
Willy Caballero,ar ARG,GK,3,143,4,1,3,75.0,1
