Player,Nation,Pos,MP,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
Sergio Agüero,ar ARG,FW,15,1056,8,0,0,0,1,0
Manuel Akanji,ch SUI,DF/MF,5,405,0,0,0,0,0,0
Nicolas Anelka,fr FRA,FW,4,360,1,0,0,,0,0
Angeliño,es ESP,DF/MF,1,90,0,0,0,0,0,0
Michael Ball,eng ENG,DF,3,197,0,0,0,,0,0
Gareth Barry,eng ENG,MF,8,720,1,0,0,,2,0
Joey Barton,eng ENG,MF,5,427,1,0,0,,1,0
Peter Beagrie,eng ENG,FW,4,299,0,0,0,,1,0
Craig Bellamy,wls WAL,FW,2,180,2,0,0,,1,0
Wayne Bridge,eng ENG,DF,3,270,0,0,0,,0,0
David Brightwell,eng ENG,DF,2,180,0,0,0,,1,0
Ian Brightwell,eng ENG,DF,5,394,0,0,0,,1,0
Michael Brown,eng ENG,MF,1,90,0,0,0,,1,0
João Cancelo,pt POR,DF/MF,9,784,0,1,0,0,3,0
Laurent Charvet,fr FRA,DF,2,180,0,0,0,,0,0
Gaël Clichy,fr FRA,DF,9,810,0,1,0,0,0,0
Nigel Clough,eng ENG,FW/MF,1,90,0,1,0,,0,0
Andy Cole,eng ENG,FW,2,166,0,0,0,,1,0
Vedran Ćorluka,hr CRO,DF, ,90,0,0,0,,1,0
Tony Coton,eng ENG,GK,4,360,0,0,0,,0,0
Keith Curle,eng ENG,DF,7,630,0,0,0,,4,0
Danilo,br BRA,DF/MF,2,92,0,0,0,0,1,0
Kevin De Bruyne,be BEL,FW/MF,21,1617,3,6,0,0,1,0
Fabian Delph,eng ENG,DF/MF,2,180,0,0,0,0,0,0
Martín Demichelis,ar ARG,DF/MF,5,336,0,0,0,0,1,0
Rúben Dias,pt POR,DF/MF,11,990,0,0,0,0,1,0
Andy Dibble,wls WAL,GK,1,90,0,0,0,,0,0
Paul Dickov,sct SCO,FW,3,202,0,0,0,,2,0
Sylvain Distin,fr FRA,DF,9,810,0,0,0,,1,0
Gianluigi Donnarumma,it ITA,GK,2,180,0,0,0,0,0,0
Richard Dunne,ie IRL,DF,14,1237,0,0,0,,0,0
Richard Edghill,eng ENG,DF,3,270,0,0,0,,1,0
Gelson Fernandes,ch SUI,MF,1,90,0,0,0,,0,0
Fernandinho,br BRA,DF/MF,17,1407,1,0,0,0,7,0
Fernando,br BRA,DF/MF,5,373,0,0,0,0,1,0
Garry Flitcroft,eng ENG,MF,6,476,0,0,0,,2,0
Willo Flood,ie IRL,DF/MF,1,90,0,0,0,,1,0
Marc-Vivien Foé,cm CMR,MF,2,180,0,0,0,,1,0
Aleix García,es ESP,MF,1,90,0,0,0,0,0,0
Maurizio Gaudino,de GER,MF,1,90,0,0,0,,0,0
Shay Given,ie IRL,GK,3,270,0,0,0,,0,0
Danny Granville,eng ENG,DF,1,90,0,1,0,,0,0
Jack Grealish,eng ENG,FW/MF,7,403,1,0,0,0,0,0
Joško Gvardiol,hr CRO,DF,6,539,1,0,0,0,0,0
Alf-Inge Haaland,no NOR,DF/MF,2,180,0,0,0,,0,0
Erling Haaland,no NOR,FW/MF,10,885,8,3,1,1,0,0
Joe Hart,eng ENG,GK,14,1219,0,0,0,0,0,0
Andy Hill,eng ENG,DF,3,270,1,0,0,,0,0
Rick Holden,eng ENG,MF,2,180,0,1,0,,1,0
Steve Howey,eng ENG,DF,3,270,1,0,0,,0,0
Eike Immel,de GER,GK,2,180,0,0,0,,0,0
Stephen Ireland,ie IRL,MF,8,576,0,2,0,,2,0
Andreas Isaksson,se SWE,GK,2,135,0,0,0,,0,0
David James,eng ENG,GK,5,450,0,0,0,,1,0
Niclas Jensen,dk DEN,DF,2,180,0,0,0,,0,0
Sun Jihai,cn CHN,DF,8,438,0,1,0,,1,0
Michael Johnson,eng ENG,MF,2,180,0,0,0,,1,0
Stephen Jordan,eng ENG,DF,2,180,0,0,0,,1,0
Alan Kernaghan,ie IRL,DF,2,180,0,0,0,,0,0
Abdukodir Khusanov,uz UZB,DF,2,180,0,0,0,0,0,0
Georgi Kinkladze,ge GEO,MF,2,180,0,0,0,,0,0
Vincent Kompany,be BEL,DF,19,1505,2,0,0,0,10,0
Aymeric Laporte,es ESP,DF,5,287,0,0,0,0,0,0
Joleon Lescott,eng ENG,DF,5,362,0,1,0,,0,0
Steve Lomas,nir NIR,MF,2,180,0,0,0,,1,0
Jon Macken,ie IRL,FW,2,113,1,1,0,,0,0
Pablo Maffeo,es ESP,DF/MF,1,90,0,0,0,0,0,0
Omar Marmoush,eg EGY,FW/MF,1,90,0,0,0,0,0,0
Steve McMahon,eng ENG,DF/FW,3,270,0,1,0,,2,0
Steve McManaman,eng ENG,MF,4,315,0,0,0,,0,0
Benjamin Mendy,fr FRA,DF,3,194,0,0,0,0,0,0
Lucien Mettomo,cm CMR,DF,1,90,0,0,0,,0,0
Ederson Moraes,br BRA,GK,17,1530,0,0,0,0,0,0
Émile Mpenza,be BEL,FW,2,173,0,0,0,,0,0
Kiki Musampa,nl NED,FW/MF,3,175,0,0,0,,0,0
Carlo Nash,eng ENG,GK,2,180,0,0,0,,0,0
Matija Nastasić,rs SRB,DF,3,270,0,0,0,,1,0
Nolito,es ESP,FW/MF,2,160,0,0,0,0,0,0
Matheus Nunes,pt POR,DF/MF,3,208,0,0,0,0,1,0
Stefan Ortega,de GER,GK,2,180,0,0,0,0,1,0
Nicolás Otamendi,ar ARG,DF,10,842,2,0,0,0,1,0
Terry Phelan,ie IRL,DF,5,450,0,0,0,,3,0
Spencer Prior,eng ENG,DF,2,112,0,0,0,,1,0
Niall Quinn,ie IRL,FW,7,556,4,1,0,,1,0
Peter Reid,eng ENG,MF,2,127,0,0,0,,1,0
Robinho,br BRA,FW/MF,2,179,0,0,0,,0,0
David Rocastle,eng ENG,MF,1,90,0,0,0,,1,0
Rodri,es ESP,DF/MF,16,1342,0,2,0,0,5,0
Uwe Rösler,de GER,FW,4,292,1,0,0,,1,0
Bacary Sagna,fr FRA,DF,3,270,0,0,0,0,0,0
Georgios Samaras,gr GRE,FW/MF,1,90,0,0,0,,0,0
Kasper Schmeichel,dk DEN,GK,1,90,0,0,0,,0,0
Peter Schmeichel,dk DEN,GK,1,90,0,0,0,,0,0
David Seaman,eng ENG,GK,1,90,0,0,0,,0,0
Antoine Semenyo,gh GHA,FW/MF,1,90,0,0,0,0,0,0
Mike Sheron,eng ENG,FW,3,244,0,1,0,,0,0
David Silva,es ESP,FW/MF,16,1342,4,3,0,0,4,0
David Sommeil,gp GLP,DF,2,180,0,0,0,,0,0
Zack Steffen,us USA,GK,1,90,0,0,0,0,0,0
John Stones,eng ENG,DF,13,1049,1,0,0,0,0,0
Nicky Summerbee,eng ENG,MF,4,303,0,0,0,,1,0
Kit Symons,wls WAL,DF,2,180,0,0,0,,0,0
Michael Tarnat,de GER,DF/MF,1,90,0,0,0,,0,0
Carlos Tevez,ar ARG,FW/MF,7,554,0,3,0,,3,0
Ben Thatcher,wls WAL,DF,3,270,0,0,0,,2,0
Danny Tiatto,au AUS,DF/MF,2,177,0,0,0,,1,0
Kolo Touré,ci CIV,DF,4,340,0,0,0,,0,0
Yaya Touré,ci CIV,MF,13,1149,3,1,0,0,2,0
Hatem Trabelsi,tn TUN,DF,1,90,1,0,0,,0,0
Simon Tracey,eng ENG,GK,1,90,0,0,0,,0,0
Daniel Van Buyten,be BEL,DF,1,90,0,0,0,,0,0
Michel Vonk,nl NED,DF,4,360,0,0,0,,0,0
Kyle Walker,eng ENG,DF/MF,17,1415,0,1,0,0,4,0
Paul Walsh,eng ENG,FW,3,270,0,0,0,,0,0
Paulo Wanchope,cr CRC,FW,2,100,0,0,0,,0,0
Nicky Weaver,eng ENG,GK,2,135,0,0,0,,0,0
David White,eng ENG,FW/MF,3,270,0,0,0,,1,0
Jeff Whitley,nir NIR,MF,2,180,0,0,0,,0,0
Shaun Wright-Phillips,eng ENG,FW/MF,11,723,2,1,0,,0,0
Oleksandr Zinchenko,ua UKR,DF/MF,4,346,0,0,0,0,1,0
Bernardo Corradi,it ITA,FW,1,89,0,0,0,,2,1
Samir Nasri,fr FRA,FW/MF,8,477,1,2,0,0,1,0
Martin Petrov,bg BUL,FW/MF,4,202,0,2,0,,0,0
Eyal Berkovic,il ISR,MF,2,161,0,1,0,,0,0
Robbie Fowler,eng ENG,FW,6,375,2,0,0,,2,0
Antoine Sibierski,fr FRA,FW/MF,4,282,0,1,0,,1,0
Darius Vassell,eng ENG,FW/MF,6,488,2,2,0,,1,0
Danny Mills,eng ENG,DF,3,243,0,0,0,,1,0
Trevor Sinclair,eng ENG,MF,5,335,2,0,0,,0,0
Jérôme Boateng,de GER,DF,1,79,0,0,0,,0,0
James Mcatee,eng ENG,MF,1,79,0,0,0,0,0,0
Leroy Sané,de GER,FW/MF,7,418,1,1,0,0,0,0
Claudio Bravo,cl CHI,GK,4,348,0,0,0,0,0,0
Albert Riera,es ESP,DF/FW,1,76,0,0,0,,0,0
İlkay Gündoğan,de GER,MF,16,1105,4,2,0,0,0,0
Micah Richards,eng ENG,DF,9,699,0,1,0,,1,0
Benjani,zw ZIM,FW,2,164,1,0,0,,0,0
Álvaro Negredo,es ESP,FW,2,86,0,2,0,,0,0
Emmanuel Adebayor,tg TOG,FW,2,74,0,0,0,,0,0
Geovanni,br BRA,FW/MF,1,73,1,0,0,,0,0
Nico O'Reilly,eng ENG,DF/MF,4,270,0,0,0,0,1,0
Nigel de Jong,nl NED,MF,5,344,0,0,0,,1,0
James Milner,eng ENG,DF/MF,9,478,1,2,0,0,2,0
Bernardo Silva,pt POR,FW/MF,21,1633,4,7,0,0,5,0
Stevan Jovetić,me MNE,FW/MF,1,70,0,0,0,0,0,0
Jesús Navas,es ESP,DF/MF,8,527,0,1,0,0,0,0
Mario Balotelli,it ITA,FW,2,120,2,0,0,,1,0
Mikheil Kavelashvili,ge GEO,FW,1,68,1,0,0,,0,0
Kevin Horlock,nir NIR,MF,2,68,0,0,0,,0,0
Adam Johnson,eng ENG,MF,2,82,0,0,0,,1,0
Elano,br BRA,MF,3,197,0,1,0,,0,0
Riyad Mahrez,dz ALG,FW/MF,11,700,3,2,0,0,0,0
DaMarcus Beasley,us USA,DF/FW,2,75,0,0,0,,0,0
Jeremy Doku,be BEL,FW/MF,8,433,1,2,0,0,0,0
Steffen Karl,de GER,DF/MF,1,56,0,0,0,,0,0
Fitzroy Simpson,jm JAM,MF,1,53,0,0,0,,0,0
Sergio Gómez,es ESP,DF/MF,1,50,0,1,0,0,0,0
Max Alleyne,eng ENG,DF,1,45,0,0,0,0,0,0
Ian Bishop,eng ENG,MF,1,45,0,0,0,,0,0
Paul Bosvelt,nl NED,DF/MF,2,135,0,0,0,,0,0
Rayan Cherki,fr FRA,FW/MF,1,45,0,0,0,0,0,0
Michael Frontzeck,de GER,DF,1,45,0,0,0,,0,0
Shaun Goater,bm BER,FW,4,147,3,0,0,,0,0
Tony Grant,eng ENG,MF,1,45,0,0,0,,0,0
Dietmar Hamann,de GER,MF,4,263,0,0,0,,1,0
Mark Kennedy,ie IRL,DF/MF,1,45,0,0,0,,0,0
Mateo Kovačić,hr CRO,MF,5,252,0,0,0,0,0,0
Eliaquim Mangala,fr FRA,DF,3,167,0,0,0,0,1,0
Martin Phillips,eng ENG,MF,1,45,0,0,0,,0,0
Claudio Reyna,us USA,MF,3,180,0,0,0,,2,0
Gerard Wiekens,nl NED,DF,3,203,0,0,0,,1,0
Pablo Zabaleta,ar ARG,DF/MF,12,946,1,1,0,0,2,0
Willy Caballero,ar ARG,GK,3,143,0,0,0,0,0,0
Andrei Kanchelskis,ru RUS,DF/MF,1,39,0,0,0,,0,0
Wilfried Bony,ci CIV,FW,2,120,0,0,0,0,0,0
Edin Džeko,ba BIH,FW,6,173,4,2,0,0,0,0
Rolando Bianchi,it ITA,FW,1,28,0,0,0,,0,0
Patrick Vieira,fr FRA,MF,1,26,0,0,0,,0,0
Raheem Sterling,eng ENG,FW/MF,16,1241,0,2,0,0,1,0
Ferran Torres,es ESP,FW/MF,1,25,0,0,0,0,0,0
Nedum Onuoha,eng ENG,DF,5,383,0,0,0,,0,0
Frank Lampard,eng ENG,MF,1,17,0,0,0,0,0,0
Rico Lewis,eng ENG,DF,3,197,0,0,0,0,1,0
Julián Álvarez,ar ARG,FW/MF,4,169,0,1,0,0,1,0
Felipe Caicedo,ec ECU,FW/MF,2,78,0,0,0,,0,0
Cole Palmer,eng ENG,FW/MF,1,16,0,0,0,0,0,0
Nicolás González,es ESP,MF,1,15,0,0,0,0,0,0
Daniel Sturridge,eng ENG,FW/MF,1,15,0,0,0,,0,0
Gerry Creaney,sct SCO,FW,1,12,0,0,0,,0,0
Rayan Aït-Nouri,dz ALG,DF/MF,1,11,0,0,0,0,0,0
Aleksandar Kolarov,rs SRB,DF,8,470,0,1,0,0,0,0
Divine Mukasa,eng ENG,MF,1,11,0,0,0,0,0,0
Tijjani Reijnders,nl NED,MF,2,101,0,0,0,0,0,0
Kelechi Iheanacho,ng NGA,FW/MF,3,150,1,1,0,0,1,0
Bradley Wright-Phillips,eng ENG,FW,1,8,0,0,0,,0,0
Valeri Bojinov,bg BUL,FW,2,35,0,0,0,,0,0
Ali Benarbia,dz ALG,MF,1,6,0,0,0,,0,0
Gabriel Jesus,br BRA,FW/MF,11,467,0,0,0,0,3,0
Javier Garrido,es ESP,DF,3,184,0,0,0,,0,0
Nathan Aké,nl NED,DF/MF,8,411,0,0,0,0,0,0
Sávio,br BRA,FW/MF,3,44,0,0,0,0,0,0
Oscar Bobb,no NOR,FW/MF,3,94,0,1,0,0,0,0
Ched Evans,wls WAL,FW,1,1,0,0,0,,0,0
Phil Foden,eng ENG,FW/MF,17,1083,7,1,0,0,1,0
Javi García,es ESP,DF/MF,3,29,0,0,0,,0,0
