scope,team,streak_id,start_date,end_date,start_match_id,end_match_id,matches_in_streak,goals_scored_in_streak,avg_goals_per_match_in_streak,is_longest_streak,competitions
Manchester derby matches only,Manchester City,1,1978-03-15,1978-03-15,1978-03-15_manchester-utd_vs_manchester-city,1978-03-15_manchester-utd_vs_manchester-city,1,2,2.00,N,First Division
Manchester derby matches only,Manchester City,2,1979-11-10,1979-11-10,1979-11-10_manchester-city_vs_manchester-utd,1979-11-10_manchester-city_vs_manchester-utd,1,2,2.00,N,First Division
Manchester derby matches only,Manchester City,3,1980-09-27,1981-02-21,1980-09-27_manchester-utd_vs_manchester-city,1981-02-21_manchester-city_vs_manchester-utd,2,3,1.50,N,First Division
Manchester derby matches only,Manchester City,4,1982-02-27,1983-03-05,1982-02-27_manchester-utd_vs_manchester-city,1983-03-05_manchester-city_vs_manchester-utd,3,4,1.33,N,First Division
Manchester derby matches only,Manchester City,5,1986-03-22,1986-10-26,1986-03-22_manchester-utd_vs_manchester-city,1986-10-26_manchester-city_vs_manchester-utd,2,3,1.50,N,First Division
Manchester derby matches only,Manchester City,6,1989-09-23,1990-10-27,1989-09-23_manchester-city_vs_manchester-utd,1990-10-27_manchester-city_vs_manchester-utd,3,9,3.00,N,First Division
Manchester derby matches only,Manchester City,7,1992-04-07,1993-11-07,1992-04-07_manchester-utd_vs_manchester-city,1993-11-07_manchester-city_vs_manchester-utd,4,5,1.25,N,First Division; Premier League
Manchester derby matches only,Manchester City,8,1996-04-06,1996-04-06,1996-04-06_manchester-city_vs_manchester-utd,1996-04-06_manchester-city_vs_manchester-utd,1,2,2.00,N,Premier League
Manchester derby matches only,Manchester City,9,2001-04-21,2004-03-14,2001-04-21_manchester-utd_vs_manchester-city,2004-03-14_manchester-city_vs_manchester-utd,5,10,2.00,N,Premier League
Manchester derby matches only,Manchester City,10,2005-09-10,2006-12-09,2005-09-10_manchester-utd_vs_manchester-city,2006-12-09_manchester-utd_vs_manchester-city,3,5,1.67,N,Premier League
Manchester derby matches only,Manchester City,11,2007-08-19,2008-02-10,2007-08-19_manchester-city_vs_manchester-utd,2008-02-10_manchester-utd_vs_manchester-city,2,3,1.50,N,Premier League
Manchester derby matches only,Manchester City,12,2009-09-20,2009-09-20,2009-09-20_manchester-utd_vs_manchester-city,2009-09-20_manchester-utd_vs_manchester-city,1,3,3.00,N,Premier League
Manchester derby matches only,Manchester City,13,2011-02-12,2015-04-12,2011-02-12_manchester-utd_vs_manchester-city,2015-04-12_manchester-utd_vs_manchester-city,9,22,2.44,N,Premier League
Manchester derby matches only,Manchester City,14,2016-09-10,2016-09-10,2016-09-10_manchester-utd_vs_manchester-city,2016-09-10_manchester-utd_vs_manchester-city,1,2,2.00,N,Premier League
Manchester derby matches only,Manchester City,15,2017-12-10,2020-01-07,2017-12-10_manchester-utd_vs_manchester-city,2020-01-07_manchester-utd_vs_manchester-city,6,13,2.17,N,EFL Cup; Premier League
Manchester derby matches only,Manchester City,16,2021-01-06,2021-01-06,2021-01-06_manchester-utd_vs_manchester-city,2021-01-06_manchester-utd_vs_manchester-city,1,2,2.00,N,EFL Cup
Manchester derby matches only,Manchester City,17,2021-11-06,2024-12-15,2021-11-06_manchester-utd_vs_manchester-city,2024-12-15_manchester-city_vs_manchester-utd,10,24,2.40,Y,FA Community Shield; FA Cup; Premier League
Manchester derby matches only,Manchester City,18,2025-09-14,2025-09-14,2025-09-14_manchester-city_vs_manchester-utd,2025-09-14_manchester-city_vs_manchester-utd,1,3,3.00,N,Premier League
