Name
Dermot Mee
Fred Heath
Karl Darlow12
Tom Heaton22
Senne Lammens31
Daniel Armer
Diogo Dalot2
Noussair Mazraoui3
Matthijs de Ligt4
Harry Maguire5
Lisandro Martínez6
Patrick Dorgu13
Leny Yoro15
Luke Shaw23
Ayden Heaven26
Diego León35
Harry Amass41
Jaydan Kamason66
Jim Thwaites0
Mason Mount7
Bruno Fernandes8
Andrey Santos17
Youri Tielemans18
Manuel Ugarte25
Kobbie Mainoo37
Jack Fletcher38
Tyler Fletcher39
Toby Collyer43
Daniel Gore44
Jacob Devaney67
Marcus Rashford
Enzo Kana-Biyik
Matheus Cunha10
Joshua Zirkzee11
Amad Diallo16
Bryan Mbeumo19
Benjamin Sesko30
Ethan Wheatley36
Ethan Williams56
Shea Lacey61
