Rank,Player Name,Team,Goals
1,Wayne Rooney,Manchester United,8
1,Erling Haaland,Manchester City,8
1,Sergio Agüero,Manchester City,8
4,Eric Cantona,Manchester United,7
4,Phil Foden,Manchester City,7
6,Marcus Rashford,Manchester United,6
7,Paul Scholes,Manchester United,5
7,Anthony Martial,Manchester United,5
9,Bernardo Silva,Manchester City,4
9,Ruud van Nistelrooy,Manchester United,4
9,İlkay Gündoğan,Manchester City,4
9,Andrei Kanchelskis,2-squads,4
9,Bruno Fernandes,Manchester United,4
9,David Silva,Manchester City,4
9,Edin Džeko,Manchester City,4
9,Niall Quinn,Manchester City,4
