Player,Nation,Pos,MP,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
Antony,br BRA,FW/MF,5,169,1,0,0,0,1,0
Eric Bailly,ci CIV,DF,5,328,0,0,0,0,1,0
Fabien Barthez,fr FRA,GK,3,270,0,0,0,,0,0
Altay Bayındır,tr TUR,GK,1,90,0,0,0,0,0,0
David Beckham,eng ENG,MF,5,450,1,0,0,,0,0
Laurent Blanc,fr FRA,DF/MF,1,90,0,0,0,,0,0
Daley Blind,nl NED,DF/MF,6,540,0,0,0,0,1,0
Wes Brown,eng ENG,DF,9,722,0,0,0,,2,0
Steve Bruce,eng ENG,DF,8,703,0,1,0,,0,0
Nicky Butt,eng ENG,DF/MF,6,389,0,0,0,,3,0
Eric Cantona,fr FRA,FW,6,495,7,3,1,,1,0
Michael Carrick,eng ENG,MF,18,1321,1,0,0,0,2,0
Roy Carroll,nir NIR,GK,3,270,0,0,0,,0,0
Casemiro,br BRA,MF,8,572,0,1,0,0,1,0
Andy Cole,eng ENG,FW,3,253,2,1,0,,1,0
Diogo Dalot,pt POR,DF/MF,8,720,0,0,0,0,3,0
Edwin van der Sar,nl NED,GK,11,990,0,0,0,,1,0
Patrick Dorgu,dk DEN,DF/MF,3,270,1,0,0,0,0,0
Marouane Fellaini,be BEL,MF,8,606,1,0,0,0,3,1
Rio Ferdinand,eng ENG,DF,20,1800,0,0,0,,2,0
Darren Fletcher,sct SCO,MF,12,948,3,0,0,,2,0
Quinton Fortune,za RSA,MF,1,90,0,0,0,,0,0
Ben Foster,eng ENG,GK,1,90,0,0,0,,0,0
Fred,br BRA,FW/MF,13,1087,0,0,0,0,5,0
David de Gea,es ESP,GK,27,2430,0,0,0,0,1,0
Ryan Giggs,wls WAL,FW/MF,29,1952,1,12,0,,2,0
Ole Gunnar Solskjær,no NOR,FW,4,202,1,0,0,,1,0
Gabriel Heinze,ar ARG,DF,5,450,0,0,0,,0,0
Dean Henderson,eng ENG,GK,2,180,0,0,0,0,1,0
Ander Herrera,es ESP,MF,8,647,0,1,0,0,2,0
Tim Howard,us USA,GK,2,180,0,0,0,,0,0
Mark Hughes,wls WAL,FW,5,450,2,1,0,,3,0
Zlatan Ibrahimović,se SWE,FW,3,195,1,1,0,0,2,0
Paul Ince,eng ENG,MF,6,540,2,1,0,,2,0
Denis Irwin,ie IRL,DF,8,720,0,1,0,,0,0
Daniel James,wls WAL,FW/MF,5,378,0,1,0,0,0,0
Phil Jones,eng ENG,DF/MF,8,556,0,0,0,0,2,0
Roy Keane,ie IRL,MF,12,983,1,1,0,,3,1
Senne Lammens,be BEL,GK,1,90,0,0,0,0,0,0
Jesse Lingard,eng ENG,FW/MF,13,700,0,0,0,0,1,0
Romelu Lukaku,be BEL,FW,4,233,0,0,0,0,1,0
Harry Maguire,eng ENG,DF,15,1134,0,0,0,0,4,0
Anthony Martial,fr FRA,FW/MF,17,983,5,0,2,2,0,0
Lisandro Martínez,ar ARG,DF/MF,6,433,0,1,0,0,0,0
Juan Mata,es ESP,FW/MF,8,416,2,1,0,0,1,0
Nemanja Matić,rs SRB,MF,7,483,1,0,0,0,2,1
Brian McClair,sct SCO,FW/MF,5,375,0,0,0,,0,0
Gary Neville,eng ENG,DF,12,1051,0,2,0,,3,0
Ruud van Nistelrooy,nl NED,FW,6,540,4,0,0,,1,0
André Onana,cm CMR,GK,6,540,0,0,0,0,1,0
Gary Pallister,eng ENG,DF,7,630,0,0,0,,0,0
Paul Parker,eng ENG,DF,4,360,0,0,0,,0,0
Robin van Persie,nl NED,FW,3,261,1,0,0,0,0,0
Paul Pogba,fr FRA,MF,7,603,2,1,0,0,2,0
Rafael,br BRA,DF/MF,6,498,0,1,0,,2,0
Marcus Rashford,eng ENG,FW/MF,22,1600,6,1,1,1,1,0
Bryan Robson,eng ENG,MF,1,90,0,0,0,,0,0
Wayne Rooney,eng ENG,FW/MF,21,1730,8,1,0,0,7,0
Louis Saha,fr FRA,FW,3,175,1,0,0,,0,0
Jadon Sancho,eng ENG,FW/MF,5,289,1,0,0,0,0,0
Peter Schmeichel,dk DEN,GK,8,720,0,0,0,,0,0
Morgan Schneiderlin,fr FRA,MF,3,198,0,0,0,0,1,0
Lee Sharpe,eng ENG,MF,7,477,0,1,0,,0,0
Luke Shaw,eng ENG,DF/MF,17,1441,1,0,0,0,5,0
Chris Smalling,eng ENG,DF,13,1071,2,0,0,0,4,1
Jaap Stam,nl NED,DF,1,90,0,0,0,,0,0
Alex Telles,br BRA,DF,2,108,0,0,0,0,0,0
Carlos Tevez,ar ARG,FW/MF,3,270,1,0,0,,0,0
Manuel Ugarte,uy URU,MF,4,249,0,0,0,0,0,0
Raphaël Varane,fr FRA,DF/MF,5,399,0,0,0,0,1,0
Nemanja Vidić,rs SRB,DF,11,990,0,0,0,,1,0
Aaron Wan-Bissaka,cd COD,DF/MF,12,1080,0,0,0,0,2,0
Dwight Yorke,tt TRI,FW/MF,1,90,0,0,0,,0,0
Amad Diallo,ci CIV,FW/MF,4,327,1,0,0,0,0,0
Alan Smith,eng ENG,FW/MF,4,291,0,0,0,,2,1
Bruno Fernandes,pt POR,FW/MF,17,1525,4,5,3,3,2,0
Tom Cleverley,eng ENG,MF,3,170,0,0,0,,0,0
Henrikh Mkhitaryan,am ARM,FW/MF,2,130,0,0,0,0,0,0
Matteo Darmian,it ITA,DF/MF,4,265,0,0,0,0,0,0
Dimitar Berbatov,bg BUL,FW,6,367,0,1,0,,0,0
Kobbie Mainoo,eng ENG,MF,6,425,1,0,0,0,1,0
Alexis Sánchez,cl CHI,FW/MF,3,107,0,2,0,0,0,0
Park Ji-sung,kr KOR,MF,7,461,0,0,0,,0,0
Benjamin Šeško,si SVN,FW,1,79,0,0,0,0,0,0
Matthijs de Ligt,nl NED,DF,2,168,0,0,0,0,0,0
Noussair Mazraoui,ma MAR,DF/MF,3,228,0,0,0,0,0,0
Brandon Williams,eng ENG,DF,4,258,0,0,0,0,1,0
Juan Sebastián Verón,ar ARG,MF,2,137,0,0,0,,0,0
Andrei Kanchelskis,ru RUS,DF/MF,4,336,4,2,0,,0,0
Teddy Sheringham,eng ENG,FW,2,165,1,0,1,,0,0
José Kléberson,br BRA,MF,1,74,0,1,0,,0,0
Anderson,br BRA,MF,4,292,0,0,0,,2,0
Andreas Pereira,br BRA,MF,4,204,0,0,0,0,2,0
Jonny Evans,nir NIR,DF,8,519,0,0,0,0,0,1
Bryan Mbeumo,cm CMR,FW/MF,2,160,1,0,0,0,0,0
Anthony Elanga,se SWE,FW/MF,1,63,0,0,0,0,0,0
Nani,pt POR,FW/MF,7,480,1,1,0,,0,0
Christian Eriksen,dk DEN,MF,4,307,0,1,0,0,1,0
Luke Chadwick,eng ENG,MF,1,60,0,0,0,,0,0
Darron Gibson,ie IRL,MF,1,58,0,0,0,,0,0
Phil Neville,eng ENG,DF/MF,9,689,0,0,0,,1,0
Patrice Evra,fr FRA,DF,14,1192,0,2,0,,3,0
Mason Greenwood,eng ENG,FW/MF,6,298,0,1,0,0,0,0
Tyrell Malacia,nl NED,DF,2,134,0,0,0,0,1,0
Liam Miller,ie IRL,MF,1,45,0,0,0,,0,0
Paul Scholes,eng ENG,MF,21,1646,5,1,0,,4,0
Adnan Januzaj,be BEL,FW/MF,1,42,0,0,0,0,0,0
Paddy McNair,nir NIR,DF/MF,1,35,0,0,0,0,0,0
